age,job,marital,education,housing,loan,month,duration,campaign,pdays,previous
56,unemployed,divorced,university.degree,yes,no,jun,447,3,999,0
48,technician,married,high.school,no,no,may,533,1,999,0
33,admin.,married,university.degree,no,no,mar,121,2,999,1
30,services,single,high.school,no,no,nov,180,2,999,0
33,admin.,married,university.degree,yes,no,aug,111,1,999,0
43,technician,divorced,high.school,yes,no,nov,94,1,999,0
31,technician,single,university.degree,yes,no,aug,128,5,999,0
36,blue-collar,married,high.school,yes,no,jul,77,11,999,0
30,technician,single,high.school,no,no,aug,481,2,999,0
51,blue-collar,divorced,basic.4y,no,no,may,244,1,999,0
33,services,married,university.degree,no,no,jun,254,1,999,0
52,admin.,married,high.school,no,no,jul,795,1,999,0
34,blue-collar,married,basic.9y,yes,yes,may,1479,4,999,0
52,admin.,divorced,university.degree,yes,no,jul,187,2,999,0
25,blue-collar,married,high.school,no,no,jul,169,4,999,0
30,services,married,high.school,yes,no,nov,174,2,999,0
26,blue-collar,single,high.school,no,no,may,213,4,999,0
47,technician,divorced,professional.course,no,yes,may,7,1,999,0
32,blue-collar,married,basic.4y,no,no,nov,96,3,999,1
42,admin.,single,university.degree,no,no,aug,982,1,999,0
30,services,single,high.school,yes,yes,may,178,1,999,0
33,admin.,divorced,high.school,yes,no,jul,191,1,999,0
50,admin.,married,university.degree,yes,no,jun,95,7,999,1
35,blue-collar,married,basic.9y,no,no,jul,222,1,999,0
41,technician,married,university.degree,unknown,unknown,aug,531,1,999,0
51,technician,married,basic.9y,yes,no,may,45,1,999,0
34,technician,single,professional.course,no,no,oct,138,1,999,1
25,student,single,high.school,no,no,sep,185,1,999,0
38,admin.,married,university.degree,yes,no,aug,345,1,999,0
29,admin.,single,university.degree,yes,no,aug,156,1,999,0
46,management,married,basic.4y,no,no,may,319,7,999,0
51,retired,divorced,professional.course,yes,no,jul,70,3,999,0
38,blue-collar,married,basic.6y,no,no,may,124,1,999,0
43,blue-collar,married,basic.4y,yes,yes,may,135,6,999,1
55,services,divorced,high.school,yes,no,jul,499,3,999,0
39,admin.,married,high.school,yes,no,may,552,1,3,2
24,blue-collar,single,basic.9y,no,no,jul,538,3,999,0
50,blue-collar,married,basic.6y,no,no,may,544,3,999,0
25,services,divorced,high.school,yes,no,may,147,1,999,0
28,self-employed,single,university.degree,no,no,may,554,2,999,0
32,housemaid,married,basic.4y,yes,yes,may,340,1,999,0
35,technician,single,university.degree,yes,no,aug,159,1,999,0
64,unknown,married,unknown,yes,yes,aug,219,1,999,0
45,self-employed,divorced,university.degree,yes,no,may,229,4,999,0
44,services,single,high.school,no,no,may,318,1,999,1
32,admin.,single,university.degree,yes,no,sep,157,2,999,0
31,admin.,married,high.school,yes,yes,jun,118,4,999,0
38,management,divorced,university.degree,no,no,aug,247,1,999,0
37,technician,married,university.degree,no,no,aug,141,5,999,0
51,technician,divorced,high.school,no,yes,apr,306,2,999,0
29,blue-collar,single,basic.9y,yes,no,jun,76,1,999,0
35,admin.,married,high.school,yes,no,may,43,1,999,0
39,admin.,married,university.degree,yes,no,jul,72,4,999,0
24,services,single,high.school,no,no,may,260,1,999,0
47,admin.,married,university.degree,unknown,unknown,aug,288,1,10,2
42,blue-collar,single,basic.4y,no,no,jul,49,6,999,0
56,retired,married,basic.4y,yes,yes,nov,258,1,999,0
33,blue-collar,married,unknown,no,no,jul,91,4,999,0
30,self-employed,married,university.degree,yes,no,mar,577,7,999,0
51,entrepreneur,married,professional.course,no,no,jun,127,1,999,0
38,blue-collar,married,basic.9y,yes,no,nov,733,1,999,0
33,admin.,single,university.degree,yes,yes,nov,90,4,999,1
42,admin.,single,basic.9y,no,no,may,42,7,999,0
46,admin.,married,basic.6y,yes,no,apr,513,1,999,0
44,blue-collar,married,basic.6y,no,no,nov,312,3,999,0
36,blue-collar,married,basic.9y,no,no,apr,129,1,999,0
58,retired,married,unknown,yes,no,jul,121,1,999,0
45,services,married,high.school,yes,no,may,869,2,999,0
54,admin.,single,high.school,no,no,jun,114,1,999,0
50,blue-collar,married,basic.6y,yes,no,may,293,3,3,1
48,services,married,basic.6y,no,no,aug,164,1,999,0
27,blue-collar,single,unknown,yes,no,may,125,2,999,1
27,technician,single,professional.course,no,no,jul,357,3,999,0
41,entrepreneur,married,basic.4y,yes,no,jul,120,1,999,0
36,blue-collar,married,professional.course,unknown,unknown,jul,153,3,999,0
31,admin.,divorced,university.degree,yes,no,aug,269,1,999,0
70,retired,divorced,university.degree,yes,no,sep,692,1,999,0
28,blue-collar,married,basic.6y,no,yes,may,67,3,999,0
50,entrepreneur,married,university.degree,no,no,jun,424,2,999,0
33,unemployed,married,high.school,yes,yes,oct,301,2,999,0
32,admin.,married,university.degree,no,no,may,546,3,999,1
47,technician,divorced,high.school,yes,no,jul,335,2,999,0
36,unemployed,married,basic.9y,no,no,jul,153,1,999,0
43,technician,single,professional.course,no,no,may,98,3,999,0
51,housemaid,divorced,high.school,yes,yes,jul,137,1,999,0
40,admin.,divorced,university.degree,no,no,nov,72,2,999,0
30,admin.,divorced,university.degree,no,no,may,249,2,999,0
24,student,single,high.school,no,no,jun,292,1,999,1
52,technician,married,professional.course,yes,no,may,133,2,999,0
42,management,married,university.degree,no,no,jun,197,3,999,0
32,blue-collar,married,basic.6y,yes,no,nov,154,2,999,0
51,services,divorced,high.school,no,no,may,502,1,999,2
35,technician,single,university.degree,yes,no,may,44,15,999,0
47,self-employed,married,university.degree,no,no,aug,108,5,999,0
32,admin.,married,high.school,no,no,oct,101,1,999,0
39,services,married,high.school,yes,no,may,918,1,999,0
31,self-employed,unknown,professional.course,no,yes,jul,383,3,999,0
35,blue-collar,divorced,unknown,yes,no,jul,1029,3,999,0
31,student,single,unknown,no,no,aug,397,2,999,1
33,admin.,married,university.degree,no,no,jun,142,2,999,0
30,entrepreneur,single,university.degree,yes,no,jul,11,12,999,0
56,entrepreneur,married,university.degree,yes,no,may,148,4,999,0
22,housemaid,single,high.school,yes,yes,jul,767,12,999,0
30,admin.,single,university.degree,yes,yes,may,191,1,999,0
41,technician,married,high.school,unknown,unknown,jul,106,1,999,0
38,blue-collar,single,high.school,no,no,aug,250,2,999,0
46,blue-collar,unknown,unknown,no,no,may,162,7,999,0
40,housemaid,married,high.school,yes,no,may,201,1,999,0
47,admin.,married,high.school,yes,no,aug,136,2,999,0
25,blue-collar,married,basic.9y,yes,yes,jun,60,5,999,0
34,technician,married,university.degree,no,no,jul,85,2,999,0
30,blue-collar,single,basic.4y,yes,no,jun,59,3,999,0
52,self-employed,married,basic.9y,yes,no,may,90,4,999,0
56,retired,married,university.degree,no,no,jul,361,3,999,0
45,services,married,high.school,no,no,jul,77,1,999,0
56,services,married,high.school,yes,no,jul,279,11,999,0
34,technician,married,professional.course,yes,yes,sep,121,3,999,0
32,management,married,university.degree,no,no,may,159,3,999,0
46,blue-collar,single,basic.6y,yes,no,may,304,3,999,0
56,entrepreneur,married,university.degree,no,no,apr,204,1,999,0
60,housemaid,married,high.school,unknown,unknown,may,392,1,999,0
31,blue-collar,married,basic.9y,no,no,jun,204,1,999,0
30,services,single,high.school,no,no,jul,612,4,999,0
29,admin.,married,university.degree,no,no,aug,124,2,999,0
25,technician,married,university.degree,no,no,may,158,1,999,0
27,blue-collar,married,basic.4y,yes,no,may,51,5,999,0
36,management,married,basic.9y,no,no,may,117,2,999,0
50,entrepreneur,married,unknown,yes,no,jul,244,3,999,0
49,blue-collar,married,basic.6y,no,no,oct,11,1,999,0
31,admin.,married,high.school,no,yes,may,349,2,999,0
42,blue-collar,married,basic.4y,yes,yes,may,97,5,999,0
70,blue-collar,married,basic.4y,no,yes,jun,252,1,3,1
44,technician,married,professional.course,no,no,aug,82,2,999,0
56,retired,married,basic.4y,no,yes,aug,278,4,999,0
37,self-employed,married,professional.course,no,yes,may,254,1,999,0
46,services,married,basic.9y,no,no,may,984,1,999,1
34,admin.,single,university.degree,no,no,jul,61,4,999,0
42,blue-collar,married,basic.9y,no,no,may,173,2,999,0
59,retired,married,basic.4y,yes,no,aug,68,2,999,0
38,admin.,married,basic.6y,no,no,jul,262,3,999,0
37,admin.,single,high.school,no,no,may,13,11,999,0
41,blue-collar,married,basic.9y,no,no,may,93,1,999,0
34,admin.,married,professional.course,no,no,sep,230,1,3,3
27,admin.,married,professional.course,yes,no,may,1166,1,999,0
33,technician,divorced,professional.course,no,no,aug,686,2,999,0
49,management,married,high.school,no,no,jun,9,13,999,0
25,technician,single,professional.course,yes,no,jul,234,1,999,0
63,retired,married,unknown,yes,no,apr,144,4,999,0
47,housemaid,married,basic.4y,yes,no,jul,367,1,999,0
35,blue-collar,married,basic.9y,no,no,may,136,1,999,0
38,management,married,university.degree,no,no,aug,157,1,999,0
27,management,single,university.degree,no,no,may,52,4,999,0
34,services,single,high.school,yes,yes,may,87,1,999,0
29,admin.,married,university.degree,no,no,aug,604,3,999,0
31,admin.,married,university.degree,yes,no,aug,64,6,999,0
40,technician,married,university.degree,no,no,may,417,1,999,0
55,unemployed,divorced,university.degree,no,no,mar,212,3,6,3
33,admin.,married,high.school,no,no,may,316,1,999,0
36,admin.,married,university.degree,yes,no,aug,258,3,999,0
37,services,married,high.school,no,no,may,124,1,999,1
26,technician,single,professional.course,no,yes,nov,358,1,9,2
44,blue-collar,married,basic.9y,yes,no,jul,46,3,999,0
43,admin.,single,university.degree,yes,no,jul,73,6,999,0
48,technician,married,basic.4y,yes,yes,may,207,2,999,0
25,technician,single,professional.course,no,yes,apr,112,4,999,0
56,management,married,university.degree,yes,no,nov,286,1,999,0
43,blue-collar,married,basic.9y,yes,no,may,20,5,999,0
31,admin.,single,university.degree,yes,no,may,659,4,999,0
60,technician,divorced,professional.course,yes,no,may,202,6,999,0
35,blue-collar,married,high.school,no,no,jun,992,2,999,0
27,admin.,single,university.degree,no,yes,jul,83,10,999,0
44,services,divorced,high.school,yes,no,nov,101,2,999,0
37,technician,married,professional.course,yes,no,nov,222,6,999,0
44,services,married,basic.6y,no,no,may,266,2,999,0
56,retired,married,basic.4y,no,no,mar,181,2,9,2
49,blue-collar,married,basic.9y,yes,no,jul,333,1,999,0
31,admin.,married,university.degree,no,yes,aug,35,10,999,0
41,technician,married,high.school,yes,no,may,832,1,999,0
43,services,married,high.school,no,no,jun,178,2,999,0
48,services,divorced,high.school,no,no,apr,715,1,999,1
41,admin.,married,high.school,no,no,jun,152,2,999,0
44,technician,married,university.degree,yes,no,jun,712,1,6,3
38,management,married,basic.6y,yes,no,jun,166,3,999,0
59,retired,married,professional.course,yes,no,jun,59,8,999,0
35,technician,single,professional.course,yes,no,aug,300,2,999,0
55,entrepreneur,single,unknown,no,no,jul,542,1,999,0
25,self-employed,single,university.degree,no,no,jun,105,4,999,1
56,self-employed,married,basic.9y,no,no,jul,571,1,999,0
49,blue-collar,married,basic.9y,yes,no,jun,210,2,999,0
39,blue-collar,married,basic.4y,no,no,apr,91,1,999,1
42,services,married,high.school,no,no,apr,277,2,999,0
43,unemployed,married,professional.course,no,no,jun,38,2,999,0
30,admin.,married,university.degree,yes,yes,may,182,1,999,0
26,services,single,unknown,yes,no,may,536,2,999,0
38,admin.,married,basic.9y,yes,no,may,69,1,999,1
27,admin.,single,university.degree,yes,no,jul,72,1,999,0
35,services,single,high.school,yes,yes,may,151,7,999,0
29,blue-collar,married,high.school,yes,no,may,177,5,999,0
42,blue-collar,married,basic.6y,no,no,jul,121,1,999,0
27,technician,single,university.degree,yes,no,jun,224,2,999,0
60,retired,divorced,university.degree,yes,no,jun,98,4,999,0
39,technician,married,university.degree,no,no,aug,64,2,999,0
28,blue-collar,married,basic.9y,yes,no,may,379,2,999,0
52,blue-collar,divorced,basic.4y,no,no,jun,910,2,999,0
52,admin.,married,basic.4y,yes,yes,nov,102,3,999,0
40,blue-collar,married,basic.4y,unknown,unknown,may,374,1,999,0
38,management,married,university.degree,yes,no,aug,102,1,999,0
27,blue-collar,married,basic.9y,no,no,may,653,1,999,0
30,management,married,university.degree,no,yes,oct,255,1,6,1
35,technician,single,university.degree,no,no,jul,455,9,999,0
34,technician,single,university.degree,yes,yes,jul,1065,1,999,0
28,admin.,single,basic.9y,no,yes,may,175,1,999,0
37,blue-collar,married,basic.9y,yes,no,may,148,3,999,0
55,technician,married,professional.course,no,no,jul,155,1,999,0
49,blue-collar,married,basic.9y,no,no,jun,158,1,999,0
39,blue-collar,married,basic.9y,no,no,may,257,2,999,0
33,technician,single,university.degree,yes,no,aug,181,1,999,0
29,unemployed,married,university.degree,yes,no,jul,104,2,999,0
47,management,married,unknown,no,no,jul,114,1,999,0
47,blue-collar,married,basic.6y,no,no,may,317,1,999,0
36,technician,married,professional.course,no,no,aug,663,3,999,0
41,technician,divorced,university.degree,no,no,aug,519,1,999,0
52,entrepreneur,married,university.degree,yes,no,apr,126,1,999,2
26,admin.,single,high.school,no,no,jul,241,4,999,0
31,management,single,university.degree,no,no,nov,319,1,999,1
32,blue-collar,married,basic.9y,yes,no,apr,224,1,999,0
44,services,married,high.school,no,no,nov,43,2,999,0
32,student,single,university.degree,yes,no,may,147,1,999,0
39,services,divorced,professional.course,yes,yes,may,227,1,999,0
54,self-employed,married,university.degree,no,no,oct,99,3,999,0
64,retired,married,basic.4y,unknown,unknown,dec,137,8,999,0
39,management,married,basic.4y,yes,no,may,427,2,999,1
31,admin.,single,university.degree,no,no,may,43,1,999,1
23,admin.,single,university.degree,yes,no,apr,71,7,999,0
38,blue-collar,married,basic.9y,unknown,unknown,jun,144,4,999,0
41,blue-collar,married,professional.course,no,no,may,144,2,999,0
47,services,married,high.school,yes,no,nov,164,1,999,0
49,management,married,high.school,no,no,jun,18,4,999,0
28,services,married,high.school,no,no,may,1022,4,999,0
36,blue-collar,married,university.degree,no,no,jun,338,2,999,0
54,retired,single,basic.4y,yes,no,jul,392,4,999,0
42,blue-collar,married,basic.6y,no,no,jun,298,4,999,0
30,self-employed,single,university.degree,yes,no,apr,331,1,999,1
26,blue-collar,single,professional.course,no,no,jul,74,6,999,0
39,blue-collar,married,basic.9y,no,no,jul,138,1,999,0
53,retired,divorced,basic.4y,no,yes,jul,159,3,999,0
57,blue-collar,married,basic.4y,no,no,may,98,1,999,0
54,self-employed,married,university.degree,no,no,nov,9,3,999,1
35,entrepreneur,single,university.degree,yes,no,jul,88,5,999,0
25,admin.,single,university.degree,no,no,may,114,1,999,0
29,blue-collar,married,professional.course,no,no,jun,230,3,999,0
47,housemaid,single,professional.course,yes,no,apr,100,1,999,0
44,management,single,university.degree,yes,yes,nov,46,3,999,0
63,retired,married,basic.4y,yes,no,nov,413,1,3,2
50,admin.,married,professional.course,no,no,jul,306,14,999,0
45,services,married,high.school,yes,no,may,206,2,999,0
28,technician,single,university.degree,no,no,jul,453,3,999,0
23,admin.,single,high.school,yes,no,may,258,1,10,1
31,services,married,high.school,no,no,may,110,1,999,0
53,admin.,married,high.school,no,no,jun,138,2,999,0
23,admin.,married,high.school,yes,no,may,390,2,999,0
36,blue-collar,married,basic.9y,no,no,may,66,3,999,0
31,admin.,married,high.school,unknown,unknown,jun,360,2,999,0
33,technician,married,professional.course,yes,no,may,6,2,999,0
40,blue-collar,married,basic.4y,yes,no,may,446,7,999,0
30,services,married,high.school,no,yes,may,102,2,999,0
32,admin.,married,university.degree,no,no,may,361,2,999,0
46,management,married,university.degree,no,no,apr,183,3,999,1
45,blue-collar,married,unknown,no,no,apr,106,1,999,0
49,entrepreneur,divorced,basic.9y,yes,no,may,427,2,999,0
56,blue-collar,unknown,basic.4y,no,no,apr,422,1,999,0
37,admin.,married,university.degree,no,no,jul,197,2,999,0
30,management,single,university.degree,yes,no,apr,692,1,999,0
33,unemployed,married,basic.4y,no,no,may,205,1,999,0
59,retired,married,university.degree,yes,no,aug,77,4,999,0
32,technician,married,professional.course,yes,no,may,81,9,999,0
47,management,married,university.degree,yes,yes,aug,57,2,999,0
35,blue-collar,married,high.school,yes,no,nov,661,1,999,0
33,admin.,married,professional.course,no,no,jul,209,1,999,0
52,blue-collar,married,basic.9y,yes,yes,jul,114,1,999,0
57,blue-collar,divorced,unknown,yes,no,may,369,1,999,0
41,technician,divorced,professional.course,yes,no,apr,834,1,999,0
52,management,married,university.degree,no,no,jun,303,2,999,0
37,management,married,high.school,no,no,aug,132,2,999,0
33,technician,married,professional.course,yes,no,may,390,3,999,0
31,technician,divorced,high.school,no,no,may,40,1,999,1
62,self-employed,married,university.degree,no,no,sep,74,1,999,0
31,student,single,high.school,yes,no,apr,756,3,999,0
31,management,married,university.degree,no,no,may,100,8,999,0
36,blue-collar,single,basic.4y,yes,no,may,279,1,999,1
38,admin.,divorced,university.degree,no,no,apr,360,1,999,0
46,blue-collar,married,basic.4y,no,no,may,202,1,999,0
56,retired,married,basic.4y,no,no,may,134,2,999,0
26,technician,married,professional.course,yes,no,may,345,2,999,0
26,blue-collar,single,basic.9y,no,no,apr,586,1,999,0
53,housemaid,married,high.school,yes,no,jun,195,6,999,0
33,technician,single,professional.course,no,yes,aug,285,5,999,0
44,blue-collar,single,basic.9y,yes,no,apr,225,3,999,2
42,admin.,single,university.degree,no,no,aug,1013,3,999,0
59,retired,married,basic.9y,yes,no,aug,337,4,999,0
33,admin.,married,university.degree,yes,no,may,86,3,999,0
54,retired,married,basic.9y,yes,no,jul,148,1,999,0
49,unemployed,married,basic.4y,yes,yes,jul,212,17,999,0
31,admin.,single,university.degree,yes,yes,aug,95,7,999,0
42,blue-collar,single,unknown,yes,no,apr,130,1,999,1
58,entrepreneur,married,university.degree,yes,yes,jun,43,1,999,0
41,services,married,basic.9y,yes,yes,may,296,1,999,0
39,technician,single,professional.course,yes,no,aug,91,1,999,0
42,blue-collar,married,basic.4y,no,no,may,135,1,999,0
31,blue-collar,married,basic.9y,no,no,jun,19,21,999,0
55,technician,married,professional.course,yes,no,aug,160,2,999,0
30,technician,married,professional.course,yes,yes,mar,147,1,999,0
56,retired,married,basic.4y,no,no,may,88,2,999,0
85,retired,married,basic.4y,yes,no,apr,117,2,999,0
24,services,single,basic.9y,no,yes,jun,222,2,999,0
46,blue-collar,married,professional.course,yes,no,may,106,1,999,0
34,technician,single,basic.9y,no,no,aug,200,2,999,0
33,admin.,single,university.degree,yes,no,aug,236,4,999,0
43,admin.,married,university.degree,no,no,jun,175,4,999,0
59,blue-collar,married,basic.4y,no,no,may,763,2,999,0
49,admin.,divorced,basic.9y,yes,no,jul,70,1,999,0
39,blue-collar,divorced,basic.9y,no,no,may,106,3,999,0
35,blue-collar,married,basic.9y,yes,no,may,255,1,999,0
46,self-employed,divorced,basic.9y,no,no,nov,486,1,999,0
49,entrepreneur,married,university.degree,no,no,may,242,2,999,0
57,admin.,married,university.degree,no,yes,nov,192,2,999,0
50,blue-collar,married,basic.4y,yes,no,apr,100,3,999,0
37,admin.,married,university.degree,no,yes,may,243,1,999,0
35,blue-collar,married,basic.4y,no,no,may,127,5,999,0
31,self-employed,unknown,professional.course,no,no,jul,505,3,999,0
56,services,divorced,basic.4y,no,no,jun,42,3,999,0
30,admin.,single,university.degree,no,no,may,199,1,999,0
33,unemployed,divorced,professional.course,no,no,aug,197,4,999,0
22,student,single,high.school,yes,yes,may,131,2,999,0
57,retired,single,professional.course,no,no,jun,647,1,999,0
30,management,married,university.degree,yes,no,apr,271,1,2,1
37,entrepreneur,married,basic.9y,unknown,unknown,jul,268,2,999,0
47,housemaid,married,basic.4y,no,no,jul,38,16,999,0
68,retired,married,basic.4y,yes,yes,may,220,1,6,1
25,technician,divorced,high.school,yes,no,jul,237,2,999,0
35,technician,married,university.degree,unknown,unknown,aug,1579,2,999,0
26,admin.,single,basic.4y,yes,yes,jun,68,6,999,0
32,self-employed,married,professional.course,no,yes,jun,705,1,999,0
34,technician,married,professional.course,no,yes,may,388,2,999,0
48,entrepreneur,married,university.degree,yes,no,apr,126,3,999,0
45,admin.,married,basic.9y,yes,no,jun,60,2,999,0
26,technician,single,professional.course,no,no,jul,169,2,999,0
46,blue-collar,married,professional.course,no,no,aug,151,3,999,1
48,unemployed,single,basic.9y,no,no,aug,173,2,999,0
55,blue-collar,married,basic.4y,unknown,unknown,jun,32,4,999,0
35,admin.,single,university.degree,no,no,may,559,1,999,0
38,admin.,married,university.degree,no,no,nov,182,2,7,1
57,housemaid,divorced,basic.6y,yes,no,jul,87,3,999,0
30,blue-collar,married,basic.6y,yes,yes,nov,74,1,999,0
43,services,married,basic.6y,unknown,unknown,jul,939,2,999,0
27,student,single,high.school,yes,no,jul,100,2,999,0
31,blue-collar,single,basic.4y,no,no,jul,116,3,999,0
46,admin.,divorced,high.school,yes,no,jun,372,1,999,0
44,management,married,university.degree,yes,no,may,289,1,999,0
36,services,married,basic.9y,yes,no,aug,221,1,4,1
55,admin.,married,university.degree,yes,no,apr,247,1,999,1
24,blue-collar,divorced,high.school,yes,no,jul,57,2,999,0
88,retired,divorced,basic.4y,no,no,oct,512,2,6,1
47,blue-collar,divorced,basic.9y,yes,no,jul,266,1,999,0
32,admin.,married,university.degree,yes,yes,jun,102,4,999,2
32,services,single,high.school,no,no,jul,185,2,999,0
57,admin.,married,university.degree,yes,yes,aug,61,4,999,0
35,blue-collar,married,basic.4y,no,no,jun,636,1,999,0
32,blue-collar,single,basic.6y,yes,no,may,211,1,999,1
40,blue-collar,married,unknown,no,no,may,338,4,999,0
32,management,single,professional.course,no,no,may,365,2,999,0
32,blue-collar,married,basic.4y,yes,no,jul,130,4,999,0
33,blue-collar,married,basic.9y,unknown,unknown,may,215,3,999,0
56,technician,married,basic.4y,no,no,oct,306,3,3,1
35,housemaid,married,basic.4y,no,yes,may,205,5,999,0
31,blue-collar,single,basic.9y,no,no,may,312,7,999,0
45,entrepreneur,married,university.degree,no,no,apr,82,1,999,0
52,admin.,married,basic.6y,yes,no,may,152,1,999,0
48,services,married,basic.4y,no,yes,aug,187,2,999,0
41,admin.,divorced,high.school,yes,no,may,63,5,999,0
46,services,married,basic.4y,no,no,may,93,1,999,0
60,management,married,university.degree,no,no,aug,222,3,999,0
31,admin.,single,university.degree,yes,no,nov,239,2,999,0
68,retired,married,basic.4y,yes,no,oct,102,1,6,2
52,blue-collar,married,basic.4y,yes,no,aug,171,4,999,0
38,admin.,single,high.school,yes,no,nov,90,1,999,0
53,technician,married,professional.course,yes,no,may,280,1,999,0
38,housemaid,married,unknown,yes,no,jul,208,2,999,0
32,blue-collar,married,basic.9y,yes,no,nov,61,2,999,1
41,admin.,married,high.school,no,no,may,64,1,999,1
33,technician,married,professional.course,no,no,aug,45,3,999,0
39,admin.,single,high.school,no,yes,aug,92,1,999,0
35,admin.,married,high.school,yes,no,mar,117,2,999,0
42,housemaid,married,basic.4y,yes,no,may,364,1,999,0
36,blue-collar,married,basic.9y,yes,yes,jun,34,4,999,0
44,admin.,married,university.degree,yes,no,jun,18,2,999,0
31,technician,married,university.degree,yes,no,aug,376,2,999,0
57,blue-collar,divorced,basic.9y,yes,no,may,73,6,999,0
36,blue-collar,married,professional.course,yes,no,aug,269,1,999,0
39,admin.,married,university.degree,no,no,may,301,1,999,1
36,technician,married,high.school,yes,no,aug,112,2,999,0
56,blue-collar,married,basic.4y,no,no,may,267,2,999,0
57,retired,married,professional.course,unknown,unknown,nov,193,1,999,0
34,admin.,married,university.degree,yes,no,may,103,3,999,0
25,self-employed,married,university.degree,yes,no,may,274,2,999,0
43,admin.,married,professional.course,no,yes,may,221,2,999,0
29,blue-collar,married,basic.4y,yes,yes,may,122,4,999,0
43,services,married,high.school,unknown,unknown,may,54,4,999,0
40,technician,married,professional.course,no,no,aug,80,7,999,0
57,admin.,married,university.degree,no,no,aug,182,6,999,0
43,blue-collar,married,professional.course,no,yes,nov,432,2,999,0
56,entrepreneur,married,university.degree,yes,no,may,51,3,999,0
32,services,married,high.school,yes,no,nov,74,1,5,1
40,entrepreneur,married,university.degree,no,no,jun,85,3,999,0
45,services,divorced,high.school,no,no,jun,101,5,999,0
38,entrepreneur,divorced,university.degree,yes,no,nov,252,1,999,0
25,self-employed,single,university.degree,yes,no,sep,510,1,999,0
29,blue-collar,married,high.school,no,no,nov,854,2,999,0
53,blue-collar,married,basic.4y,no,yes,jun,340,2,999,0
29,blue-collar,divorced,basic.4y,no,no,jun,231,1,999,0
33,admin.,single,university.degree,yes,no,sep,761,1,999,0
39,management,single,university.degree,yes,no,nov,239,2,3,2
32,technician,married,professional.course,yes,no,aug,109,6,999,0
76,retired,married,basic.4y,yes,no,aug,550,1,999,0
47,admin.,single,university.degree,no,no,aug,267,2,999,0
58,retired,married,high.school,yes,no,aug,242,6,3,1
28,admin.,single,unknown,yes,no,jul,251,5,999,0
55,unemployed,married,basic.4y,yes,no,sep,6,1,999,0
38,management,married,university.degree,yes,no,aug,328,2,999,0
51,admin.,divorced,high.school,yes,no,aug,133,1,999,1
54,management,married,high.school,yes,no,may,254,2,999,1
23,entrepreneur,married,professional.course,no,no,jul,58,1,999,0
54,services,single,basic.6y,no,no,may,984,1,999,1
54,self-employed,married,basic.9y,no,no,aug,48,5,999,0
79,retired,married,high.school,yes,yes,jun,163,1,999,1
47,entrepreneur,divorced,high.school,no,no,apr,71,5,999,0
28,blue-collar,single,basic.9y,no,no,jul,610,2,999,0
37,entrepreneur,married,university.degree,no,no,nov,184,4,999,0
31,services,single,university.degree,yes,no,aug,55,3,999,0
51,self-employed,married,basic.9y,yes,yes,nov,244,1,999,0
46,services,married,high.school,yes,no,may,111,1,999,0
44,admin.,married,high.school,no,no,may,14,3,999,0
51,blue-collar,married,basic.4y,no,yes,jul,25,6,999,0
51,self-employed,married,high.school,yes,no,may,43,2,999,1
55,admin.,divorced,unknown,yes,no,jun,49,1,999,0
43,technician,married,professional.course,no,no,may,181,1,999,0
27,admin.,married,university.degree,no,no,may,191,5,999,0
54,management,divorced,professional.course,no,no,jul,89,1,999,0
25,blue-collar,single,basic.9y,yes,yes,jul,322,2,999,0
52,blue-collar,divorced,high.school,no,no,jun,676,2,999,0
71,retired,married,university.degree,yes,no,aug,134,1,999,0
32,admin.,married,university.degree,yes,no,nov,61,1,999,0
36,technician,married,university.degree,unknown,unknown,aug,248,1,999,0
26,technician,divorced,unknown,no,no,jul,187,1,999,0
50,technician,married,university.degree,unknown,unknown,aug,762,2,999,0
29,technician,married,professional.course,yes,no,jul,128,2,999,0
51,retired,married,university.degree,yes,yes,may,243,3,999,0
29,admin.,single,university.degree,no,yes,aug,360,1,999,0
40,admin.,divorced,university.degree,no,no,jul,366,2,999,0
37,technician,married,university.degree,yes,no,may,240,2,999,0
38,blue-collar,married,basic.9y,yes,no,may,161,1,999,0
28,services,married,high.school,no,no,jul,171,1,999,0
55,blue-collar,married,basic.9y,yes,no,may,323,4,999,0
31,entrepreneur,married,university.degree,yes,no,aug,138,1,999,0
45,blue-collar,married,basic.9y,no,no,may,121,1,999,0
32,blue-collar,married,basic.4y,yes,no,jun,13,1,999,1
59,retired,married,professional.course,yes,no,aug,303,2,3,2
39,management,married,high.school,no,no,nov,328,2,999,1
41,unknown,unknown,unknown,yes,no,jul,91,13,999,0
51,entrepreneur,married,university.degree,no,no,jun,71,1,999,0
35,management,married,university.degree,no,yes,aug,10,9,999,0
34,admin.,married,basic.6y,yes,no,apr,599,1,999,0
43,blue-collar,single,basic.9y,yes,no,may,551,2,999,0
37,blue-collar,married,basic.6y,yes,no,jul,279,1,999,0
27,services,single,high.school,no,no,may,144,2,999,0
35,technician,married,professional.course,no,no,aug,192,1,999,0
65,retired,married,basic.4y,yes,no,mar,189,1,999,0
52,technician,married,professional.course,yes,no,apr,43,3,999,0
40,housemaid,divorced,high.school,no,no,may,188,1,999,0
50,management,married,basic.6y,yes,no,apr,704,2,999,0
72,retired,married,basic.4y,no,no,sep,230,1,3,2
41,admin.,married,university.degree,yes,yes,jun,142,4,999,0
